Rank;Codigo_Instituicao;Instituicao;Exportacao_Quant;Exportacao_Valor;Importacao_Quant;Importacao_Valor;Transf_Exterior_Quant;Transf_Exterior_Valor;Transf_pExterior_Quant;Transf_pExterior_Valor;Mercado_Primario_Quant;Mercado_Primario_Valor;Mercado_Interbancario_Quant;Mercado_Interbancario_Valor;Total_Geral_Quant;Total_Geral_Valor;Data_Ref
145;4.684.647;ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.;36.0;186566.0;3.0;46906.0;71.0;381160.0;526.0;1285849.0;636.0;1900481.0;74.0;1131069.0;710.0;3031550.0;2014-00
150;4.913.711;BANCO DO ESTADO DO PARµ S.A.;10.0;782772.0;1.0;15489.0;14.0;7807.0;113.0;352302.0;138.0;1158369.0;16.0;1065828.0;154.0;2224197.0;2014-00
162;17.312.661;AMARIL FRANKLIN CORRETORA DE T÷TULOS E VALORES LTDA;3.0;267183.0;3.0;34218.0;2.0;2570.0;32.0;155949.0;40.0;459920.0;16.0;469303.0;56.0;929222.0;2014-00
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;3424.0;1723644596.0;20060.0;2204351418.0;14406.0;3676991645.0;31155.0;6819486253.0;69045.0;14424473912.0;1173.0;11553246981.0;70218.0;25977720893.0;2015-01
2;33.172.537;BANCO J.P. MORGAN S.A.;117.0;358349014.0;3174.0;787766714.0;870.0;10801252058.0;1498.0;3527871161.0;5659.0;15475238947.0;648.0;8470751943.0;6307.0;23945990891.0;2015-01
3;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO;2285.0;839168777.0;10237.0;1342897948.0;10518.0;4769920807.0;25065.0;3201316531.0;48105.0;10153304064.0;878.0;13416723085.0;48983.0;23570027149.0;2015-01
4;60.701.190;ITAÚ UNIBANCO S.A.;6103.0;1401333786.0;18942.0;1893080105.0;43076.0;2688249293.0;34581.0;4952481712.0;102702.0;10935144896.0;383.0;12131682879.0;103085.0;23066827774.0;2015-01
5;33.479.023;BANCO CITIBANK S.A.;1439.0;998633018.0;6417.0;1535569027.0;8620.0;6246910745.0;16747.0;6503585045.0;33223.0;15284697834.0;600.0;5168244188.0;33823.0;20452942022.0;2015-01
6;60.746.948;BANCO BRADESCO S.A.;4986.0;2439862440.0;12030.0;1543977387.0;21692.0;4438047474.0;21348.0;4581968437.0;60056.0;13003855738.0;1121.0;3281365078.0;61177.0;16285220817.0;2015-01
7;00.000.000;BANCO DO BRASIL S.A.;7889.0;4318477675.0;18896.0;3428773618.0;20855.0;1420419764.0;27271.0;3007387985.0;74911.0;12175059041.0;577.0;3652055904.0;75488.0;15827114946.0;2015-01
8;30.306.294;BANCO BTG PACTUAL S.A.;23.0;192019514.0;57.0;8891858.0;454.0;910332830.0;496.0;1433065547.0;1030.0;2544309749.0;395.0;11656246015.0;1425.0;14200555764.0;2015-01
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;209.0;663815397.0;1001.0;420272087.0;622.0;2647113615.0;1510.0;1077911530.0;3342.0;4809112629.0;552.0;7592944238.0;3894.0;12402056868.0;2015-01
10;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;171.0;654047769.0;790.0;549326437.0;308.0;1039972994.0;1103.0;1490887200.0;2372.0;3734234400.0;310.0;6579766223.0;2682.0;10314000623.0;2015-01
12;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;22.0;251604291.0;229.0;14748681.0;168.0;1128317513.0;346.0;814742666.0;765.0;2209413151.0;336.0;3741944248.0;1101.0;5951357399.0;2015-01
13;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;41.0;117088830.0;171.0;58971462.0;184.0;1265953366.0;284.0;1562883156.0;680.0;3004896813.0;76.0;2459441903.0;756.0;5464338716.0;2015-01
7;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;3.0;7059637.0;1.0;1418160.0;352.0;957802368.0;319.0;685071033.0;675.0;1651351198.0;113.0;2850041524.0;788.0;4501392722.0;2015-01
8;61.820.817;BANCO PAULISTA S.A.;39.0;82537660.0;401.0;48597980.0;676.0;106957032.0;1873.0;213837185.0;2989.0;451929857.0;8940.0;3251297203.0;11929.0;3703227060.0;2015-01
9;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;146.0;49318312.0;502.0;121538659.0;516.0;750653012.0;506.0;203867519.0;1670.0;1125377502.0;591.0;2298247213.0;2261.0;3423624715.0;2015-01
10;59.588.111;BANCO VOTORANTIM S.A.;107.0;225067441.0;1223.0;342589963.0;231.0;222579941.0;865.0;462375563.0;2426.0;1252612906.0;665.0;1916387534.0;3091.0;3169000441.0;2015-01
11;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. – BANCO DE INVESTIMENTO;9.0;87549860.0;24.0;47132248.0;20.0;662649.0;36.0;17398646.0;89.0;152743403.0;324.0;2696021004.0;413.0;2848764407.0;2015-01
12;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.;44.0;1529964.0;371.0;30759248.0;184.0;87327000.0;930.0;42986132.0;1529.0;162602344.0;11653.0;2032795057.0;13182.0;2195397401.0;2015-01
13;58.160.789;BANCO SAFRA S.A.;147.0;45971657.0;1657.0;193692252.0;777.0;580977848.0;2783.0;272792609.0;5364.0;1093434366.0;209.0;664648226.0;5573.0;1758082592.0;2015-01
14;00.360.305;CAIXA ECONOMICA FEDERAL;171.0;62529410.0;189.0;4987806.0;5036.0;524416583.0;2995.0;284075024.0;8391.0;876008824.0;233.0;829221292.0;8624.0;1705230116.0;2015-01
