Rank;Codigo_Instituicao;Instituicao;Exportacao_Quant;Exportacao_Valor;Importacao_Quant;Importacao_Valor;Transf_Exterior_Quant;Transf_Exterior_Valor;Transf_pExterior_Quant;Transf_pExterior_Valor;Mercado_Primario_Quant;Mercado_Primario_Valor;Mercado_Interbancario_Quant;Mercado_Interbancario_Valor;Total_Geral_Quant;Total_Geral_Valor;Extra;Extra_23
28;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;513.0;38056000.0;417.0;24810990.0;332.0;8250825.0;431.0;565247558.0;1693.0;636365373.0;23.0;577473734.0;1716.0;1213839107.0;;2022-01
29;07.679.404;BANCO TOPÁZIO S.A.;34.0;16551129.0;36.0;4234922.0;304.0;177787803.0;561.0;443298803.0;935.0;641872657.0;1976.0;495189481.0;2911.0;1137062138.0;;2022-01
30;19.307.785;MS BANK S.A. BANCO DE CÂMBIO;55.0;2384401.0;685.0;33337782.0;173.0;10252188.0;11963.0;30385954.0;12876.0;76360325.0;775.0;1025286879.0;13651.0;1101647204.0;;2022-01
31;62.232.889;BANCO DAYCOVAL S.A.;449.0;77207801.0;1303.0;175208749.0;87596.0;133953596.0;2315.0;92586399.0;91663.0;478956546.0;1266.0;576290272.0;92929.0;1055246817.0;;2022-01
32;00.038.166;BANCO CENTRAL DO BRASIL;;;;;;;;;;;2.0;1000550694.0;2.0;1000550694.0;;2022-01
33;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;104.0;47630891.0;594.0;126495762.0;255.0;279844742.0;449.0;162777001.0;1402.0;616748395.0;119.0;297461663.0;1521.0;914210059.0;;2022-01
34;58.616.418;BANCO FIBRA S.A.;111.0;148941030.0;917.0;171534543.0;31.0;14529980.0;229.0;26200247.0;1288.0;361205800.0;133.0;538248478.0;1421.0;899454278.0;;2022-01
35;61.088.183;BANCO MIZUHO DO BRASIL S.A.;59.0;59873056.0;185.0;83506982.0;57.0;97427004.0;120.0;22454237.0;421.0;263261278.0;175.0;590705773.0;596.0;853967052.0;;2022-01
36;58.160.789;BANCO SAFRA S.A.;197.0;33600804.0;890.0;133388913.0;827.0;182131593.0;1772.0;139796341.0;3686.0;488917651.0;589.0;332744284.0;4275.0;821661935.0;;2022-01
37;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;77.0;235517756.0;15.0;2192733.0;92.0;81215787.0;213.0;132039006.0;397.0;450965282.0;122.0;317024482.0;519.0;767989764.0;;2022-01
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;51.0;58444591.0;246.0;53825395.0;18.0;153600986.0;279.0;189662128.0;594.0;455533100.0;50.0;124036508.0;644.0;579569608.0;;2022-01
39;15.114.366;BANCO BOCOM BBM S.A.;14.0;6643279.0;98.0;18337934.0;30.0;82688334.0;187.0;50674803.0;329.0;158344350.0;30.0;343781686.0;359.0;502126036.0;;2022-01
40;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;4.0;36471272.0;2.0;836736.0;2.0;1137.0;417.0;187106769.0;425.0;224415914.0;25.0;262124338.0;450.0;486540253.0;;2022-01
41;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;;2443.0;12373180.0;165105.0;132386807.0;167548.0;144759987.0;2724.0;317568696.0;170272.0;462328683.0;;2022-01
42;33.923.798;BANCO MASTER S/A;108.0;63352901.0;356.0;15079229.0;19121.0;83716225.0;65500.0;136774144.0;85085.0;298922500.0;133.0;154637198.0;85218.0;453559698.0;;2022-01
43;07.656.500;BANCO KDB DO BRASIL S.A.;;;1.0;899038.0;80.0;28184266.0;314.0;193348090.0;395.0;222431395.0;82.0;221086663.0;477.0;443518058.0;;2022-01
44;71.027.866;BANCO BS2 S.A.;301.0;52074895.0;1117.0;62279732.0;8212.0;120185406.0;22072.0;116859423.0;31702.0;351399456.0;98.0;90735707.0;31800.0;442135163.0;;2022-01
